Name;Resolver voltage divider;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\ResolverVotageDivider.csv;
Starttime of export;132907764534190000;Thursday, March 3, 2022;11:20:53.419
Endtime of export;132907764927590000;Thursday, March 3, 2022;11:21:32.759


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132907764561790000;0;0;-0.0015765796747412297
132907764561890000;0;0;-0.0050576748795098251
132907764561990000;0;0;-0.0048308578340041384
132907764562090000;0;0;-0.0068500522003167377
132907764562190000;0;0;-0.0011937393473225406
132907764562290000;0;0;0.0037513777393804165
132907764562390000;0;0;-0.0015850673903421396
132907764562490000;0;0;0.0057462371722348526
132907764562590000;0;0;0.00434929745184422
132907764562690000;0;0;0.0012291892341438947
132907764562790000;0;0;0.00069098620131278728
132907764562890000;0;0;-0.0033599819241131286
132907764562990000;0;0;-0.012726798688312198
132907764563090000;0;0;-0.0070959621388382021
132907764563190000;0;0;-0.017670520811542939
132907764563290000;0;0;-0.00764084985522267
132907764563390000;0;0;0.0026025299754654637
132907764563490000;0;0;-0.0024954811182860172
132907764563590000;0;0;0.003852194197064833
132907764563690000;0;0;-0.0038630132777043242
132907764563790000;0;0;-0.0060488985680250979
132907764563890000;0;0;-0.010077782010610556
132907764563990000;0;0;-0.00593727081750739
132907764564090000;0;0;-0.0043621759449250794
132907764564190000;0;0;-0.014861456907737979
132907764564290000;0;0;-0.019974482458547268
132907764564390000;0;0;-0.009990820369249049
132907764564490000;0;0;-0.011010559721040758
132907764564590000;0;0;-0.008375630030016748
132907764564690000;0;0;-0.0045340294500772187
132907764564790000;0;0;-0.0058847741974973489
132907764564890000;0;0;-0.008793797802319453
132907764564990000;0;0;-0.0039321965472502995
132907764565090000;0;0;-0.0054157755499697965
132907764565190000;0;0;0.0051022177900311473
132907764565290000;0;0;0.0010866806132912724
132907764565390000;0;0;-0.001285666856289227
132907764565490000;0;0;-0.0078708420289774327
132907764565590000;0;0;-0.0016004973287040538
132907764565690000;0;0;-0.0089720761702295222
132907764565790000;0;0;-0.010316310896401042
132907764565890000;0;0;0.0074513414582938519
