Name;Resolver ciclic error 2;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\Resolver Ciclic Error2.csv;
Starttime of export;132900081483250000;Tuesday, February 22, 2022;13:55:48.325
Endtime of export;132900081936650000;Tuesday, February 22, 2022;13:56:33.665


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132900081497550000;0;0;-0.0750093477316312
132900081497650000;0;0;-0.073966321584784736
132900081497750000;0;0;-0.073200805320707371
132900081497850000;0;0;-0.072587762855168075
132900081497950000;0;0;-0.072723804693642383
132900081498050000;0;0;-0.071695730053993031
132900081498150000;0;0;-0.070811037193684437
132900081498250000;0;0;-0.0708727247234671
132900081498350000;0;0;-0.0709462268208545
132900081498450000;0;0;-0.071882520913998382
132900081498550000;0;0;-0.072720709657379687
132900081498650000;0;0;-0.0717258771957984
132900081498750000;0;0;-0.071417620254557557
132900081498850000;0;0;-0.071682786472826387
132900081498950000;0;0;-0.071958100720568532
132900081499050000;0;0;-0.072105051170751763
132900081499150000;0;0;-0.072572633981030116
132900081499250000;0;0;-0.072319319652247777
132900081499350000;0;0;-0.073057927040236642
132900081499450000;0;0;-0.07273739156188061
132900081499550000;0;0;-0.0728062131044441
132900081499650000;0;0;-0.073059536755585686
132900081499750000;0;0;-0.072930299750848568
132900081499850000;0;0;-0.07233084828408734
132900081499950000;0;0;-0.071371896266395063
132900081500050000;0;0;-0.0711784730552755
132900081500150000;0;0;-0.070950189482412052
132900081500250000;0;0;-0.071948761836796965
132900081500350000;0;0;-0.072334502355541425
132900081500450000;0;0;-0.072429081252987623
132900081500550000;0;0;-0.072883121257233771
