Name;Resolver voltage divider at sine and cosine coild;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\VoltageDividerSineCosCoils.csv;
Starttime of export;132907960342450000;Thursday, March 3, 2022;16:47:14.245
Endtime of export;132907960642850000;Thursday, March 3, 2022;16:47:44.285


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132907960371050000;0;0;0.00050540432785440323
132907960371150000;0;0;0.00064658601284194722
132907960371250000;0;0;0.000440755087549739
132907960371350000;0;0;0.00079168356157652579
132907960371450000;0;0;0.0022490948796516303
132907960371550000;0;0;0.0015800378221582914
132907960371650000;0;0;-0.00034697493274539405
132907960371750000;0;0;-0.0022085940717024191
132907960371850000;0;0;-0.0035162723214660577
132907960371950000;0;0;-0.0016182328383451562
132907960372050000;0;0;-0.0014480700074079485
132907960372150000;0;0;-0.0021890307589238177
132907960372250000;0;0;-0.0026326591449242092
132907960372350000;0;0;-0.002936072893527921
132907960372450000;0;0;-0.0021177334907344888
132907960372550000;0;0;-0.0024424437857481747
132907960372650000;0;0;-0.001278706617621821
132907960372750000;0;0;-0.0010456246704379595
132907960372850000;0;0;-0.00113215759530011
132907960372950000;0;0;-0.0012385482121178987
132907960373050000;0;0;-0.00060467921068278188
132907960373150000;0;0;0.0014860000920074827
132907960373250000;0;0;-0.0017289416241389353
132907960373350000;0;0;-0.0022854723360666877
132907960373450000;0;0;-0.0018207476558975162
132907960373550000;0;0;-0.0024351277778424272
132907960373650000;0;0;-0.0019827443214742611
132907960373750000;0;0;-0.00042787626881578538
132907960373850000;0;0;-0.0007133327067717684
132907960373950000;0;0;-0.0038105809516124026
132907960374050000;0;0;-0.0036722103401639794
132907960374150000;0;0;-0.0032062299851058004
132907960374250000;0;0;-0.0021963200278729187
132907960374350000;0;0;-0.0035629424769824322
132907960374450000;0;0;-0.0037974763126016218
132907960374550000;0;0;-0.0026377533891585037
132907960374650000;0;0;-0.0028003866604435013
132907960374750000;0;0;-0.0026854616320021157
132907960374850000;0;0;-0.0023025633137325162
132907960374950000;5.512284E-05;0.0043430975617283953;-0.00073368629178361
132907960375050000;0.0010452923733333332;0.068296366686437043;-0.0051413608883160919
132907960375150000;0.0044853659066666713;0.2471167512047906;-0.011020023347640797
132907960375250000;0.011906533440000018;0.56368356121248842;-0.016006270500015407
132907960375350000;0.024839984973333371;1.0271914783002019;-0.012565308809010873
132907960375450000;0.044816910506666752;1.6413356387810554;-0.010766982391045527
132907960375550000;0.073368500040000145;2.4076010350648356;-0.0042271495963715593
132907960375650000;0.11202594357333356;3.326584452295652;0.0044005231245207842
132907960375750000;0.16232043110666702;4.3985257250382332;0.021299514063763802
132907960375850000;0.22578315264000051;5.6235212374251411;0.047670649074826113
132907960375950000;0.303945298173334;7.0016097240775421;0.0803644863048356
132907960376050000;0.39833805770666753;8.5328067515709556;0.12597695732586214
132907960376150000;0.510492621240001;10.217118575762942;0.18229993714993803
132907960376250000;0.64194017877333476;12.05454771074238;0.25023229423160664
132907960376350000;0.79421192030666832;14.045095166865149;0.33587149545679884
132907960376450000;0.9688293577118986;16.18795693945486;0.43699578669394756
132907960376550000;1.1663154495118644;18.413497289409982;0.55905440097770509
132907960376650000;1.3853402948480602;20.589588450638175;0.70435214323151774
